,PASSION,Doctor,Lawyer,Teacher,Engineer,Accountant,Nurse,Police,Architect,Dentist,Pharmacist,Max_Similarity_Column
0,cokter,72.16878364870323,33.333333333333336,68.04138174397718,40.824829046386306,48.11252243246882,36.51483716701107,50.000000000000014,67.93662204867576,40.824829046386306,35.35533905932738,Doctor
1,dentiists,27.386127875258303,10.540925533894598,34.42651863295481,45.18480570575319,36.51483716701108,46.18802153517005,31.622776601683793,50.128041182760306,94.67292624062573,44.721359549995796,Dentist
2,Enginir,10.660035817780521,24.61829819586655,30.15113445777636,82.915619758885,28.42676218074806,53.93598899705937,36.92744729379982,33.44968040028363,50.251890762960606,26.111648393354674,Engineer
3,PoLICE,43.30127018922194,33.333333333333336,40.824829046386306,40.824829046386306,28.86751345948129,18.257418583505537,100.00000000000003,45.29108136578384,27.216552697590867,35.35533905932738,Police
4,engneiear,8.57492925712544,49.50737714883372,64.67616667635546,97.01425001453319,34.29971702850177,65.07913734559685,39.60590171906698,40.36036763977875,48.5071250072666,28.0056016805602,Engineer
5,DOcTRO,99.99999999999997,14.433756729740645,35.35533905932737,8.838834764831843,50.0,15.811388300841896,43.30127018922194,49.029033784546,35.35533905932737,30.618621784789724,Doctor
6,dentists,30.618621784789724,11.785113019775793,38.490017945975055,43.30127018922194,40.824829046386306,51.63977794943222,23.570226039551585,48.03844614152615,96.22504486493763,41.66666666666667,Dentist
7,POLICE,43.30127018922194,33.333333333333336,40.824829046386306,40.824829046386306,28.86751345948129,18.257418583505537,100.00000000000003,45.29108136578384,27.216552697590867,35.35533905932738,Police
8,enjeineaar,7.905694150420948,54.77225575051661,67.08203932499369,83.8525491562421,42.16370213557839,59.999999999999986,36.51483716701107,43.41215710622296,44.721359549995796,38.72983346207417,Engineer
9,DENTISTT,37.79644730092272,10.91089451179962,44.5435403187374,40.08918628686366,50.39526306789697,35.85685828003181,21.82178902359924,59.29994533288811,97.99578870122228,38.57583749052298,Dentist
10,nusye,0.0,36.51483716701107,29.8142396999972,55.90169943749474,31.622776601683793,79.99999999999999,18.257418583505537,12.403473458920846,44.721359549995796,12.909944487358056,Nurse
11,tEaCHEr,35.35533905932737,54.433105395181734,100.0,58.333333333333336,47.14045207910317,44.721359549995796,40.824829046386306,83.20502943378438,44.44444444444444,57.735026918962575,Teacher
12,docktor,94.28090415820633,13.608276348795433,33.33333333333333,8.333333333333332,47.14045207910317,14.9071198499986,40.824829046386306,46.22501635210243,33.33333333333333,28.867513459481287,Doctor
13,nusre,15.811388300841896,36.51483716701107,44.721359549995796,67.08203932499369,31.622776601683793,99.99999999999997,18.257418583505537,24.806946917841692,44.721359549995796,25.81988897471611,Nurse
14,architeft,42.640143271122085,36.92744729379982,80.40302522073696,37.68891807222045,56.85352436149612,26.967994498529684,36.92744729379982,91.98662110078,60.30226891555272,69.63106238227914,Architect
15,tEACHEr,35.35533905932737,54.433105395181734,100.0,58.333333333333336,47.14045207910317,44.721359549995796,40.824829046386306,83.20502943378438,44.44444444444444,57.735026918962575,Teacher
16,engeineer,7.372097807744857,42.56282653793744,62.554324217122435,99.04434667711051,19.658927487319623,65.27533657682196,42.56282653793744,34.69889591797442,48.65336327998411,12.038585308576923,Engineer
