,PASSION,Max_Similarity_Column
0,cokter,Doctor
1,dentiists,Dentist
2,Enginir,Engineer
3,PoLICE,Police
4,engneiear,Engineer
5,DOcTRO,Doctor
6,dentists,Dentist
7,POLICE,Police
8,enjeineaar,Engineer
9,DENTISTT,Dentist
10,nusye,Nurse
11,tEaCHEr,Teacher
12,docktor,Doctor
13,nusre,Nurse
14,architeft,Architect
15,tEACHEr,Teacher
16,engeineer,Engineer
17,dentists,Dentist
18,POLicE,Police
19,ENJINEER,Engineer
20,engeniiar,Engineer
21,enginear,Engineer
22,accounTAnT,Accountant
23,TEacher,Teacher
24,POLIcE,Police
25,denstists,Dentist
26,pharmaccist,Pharmacist
27,doktur,Doctor
28,POlICE,Police
29,DEIST,Dentist
30,doctuor,Doctor
31,dentists,Dentist
32,doktoor,Doctor
33,DENISST,Dentist
34,doctore,Doctor
35,lAWYREE,Lawyer
36,denttst,Dentist
37,dactar,Pharmacist
38,DOCTUER,Doctor
39,tEacHER,Teacher
40,TeaCHeR,Teacher
41,doktr,Doctor
42,doctar,Doctor
43,poLIcE,Police
44,TEaCHer,Teacher
45,enjinear,Engineer
46,TeaCHer,Teacher
47,enjneear,Engineer
48,TEACher,Teacher
49,ARCHITEKCT,Architect
50,engineer,Engineer
51,PHARMASICT,Pharmacist
52,PoLICE,Police
53,enjeneer,Engineer
54,denist,Dentist
55,nusrqe,Nurse
56,acCOUNTANT,Accountant
57,DENTSISTS,Dentist
58,tEACHer,Teacher
59,POLiCE,Police
60,doctara,Accountant
61,arkhitect,Architect
62,enjeeneear,Engineer
63,archatekt,Architect
64,dactur,Architect
65,LAWYER,Lawyer
66,Enginnir,Engineer
67,DENSTIST,Dentist
68,tEaCHER,Teacher
69,enjeeneer,Engineer
70,enjineeer,Engineer
71,poLIcE,Police
72,tEACHeR,Teacher
73,architet,Architect
74,LAWYR,Lawyer
75,enjeenir,Engineer
76,accOUNtANT,Accountant
77,TEACHer,Teacher
78,Engenier,Engineer
79,PoLICE,Police
80,engieear,Engineer
81,PoLICE,Police
82,TEAcHeR,Teacher
83,polICe,Police
84,enjeineer,Engineer
85,teachER,Teacher
86,Engunir,Engineer
87,nusxe,Nurse
88,arkhitect,Architect
89,enjeenirr,Engineer
90,engeeneaar,Engineer
91,PoliCe,Police
92,poLIcE,Police
93,DOKATAR,Doctor
94,laWYER,Lawyer
95,docktor,Doctor
96,TEaCHeR,Teacher
97,LAWYEE,Lawyer
98,teAcheR,Teacher
99,POLiCE,Police
100,nuspe,Nurse
101,dentisst,Dentist
102,enganeer,Engineer
103,dentizt,Dentist
104,engeneir,Engineer
105,POlICe,Police
106,lawYer,Lawyer
107,pOlICE,Police
108,lAWYE,Lawyer
109,DOCTER,Doctor
110,doctour,Doctor
111,doktoor,Doctor
112,POLiCe,Police
113,DENITIST,Dentist
114,dokctur,Doctor
115,dentists,Dentist
116,DOKATER,Doctor
117,DOCTUOR,Doctor
118,enjineer,Engineer
119,POliCE,Police
120,DOCTAR,Doctor
121,enjinear,Engineer
122,DNTITST,Dentist
123,lawyer,Lawyer
124,POLicE,Police
125,docters,Doctor
126,arkhitect,Architect
127,TEacheR,Teacher
128,engniear,Engineer
129,DocTRo,Doctor
130,laWyer,Lawyer
131,dntist,Dentist
132,accoUNtANt,Accountant
133,DACTOR,Doctor
134,lawYER,Lawyer
135,enjineearr,Engineer
136,PoLICE,Police
137,Engnnir,Engineer
138,engieearr,Engineer
139,Enginnear,Engineer
140,Enguniear,Engineer
141,ACcouNTANT,Accountant
142,tEAchEr,Teacher
143,enginir,Engineer
144,DOKTOER,Doctor
145,PoLIcE,Police
146,enjeenerr,Engineer
147,enganeer,Engineer
148,denitss,Dentist
149,TeACHer,Teacher
150,pOLICe,Police
151,nurxe,Nurse
152,enjeer,Engineer
153,tEaCHEr,Teacher
154,engonir,Engineer
155,pOlICE,Police
156,LawYER,Lawyer
157,DENTSTS,Dentist
158,dentitst,Dentist
159,TEACHER,Teacher
160,deist,Dentist
161,Enginer,Engineer
162,enjinear,Engineer
163,teacHeR,Teacher
164,poliCe,Police
165,POLiCE,Police
166,PoLIcE,Police
167,ACCOuntANT,Accountant
168,tEacHer,Teacher
169,POLIcE,Police
170,engeneaar,Engineer
171,Enginneer,Engineer
172,DOCHTOR,Doctor
173,DOKETUR,Doctor
174,arkitect,Architect
175,lAWYer,Lawyer
176,engienir,Engineer
177,ACCOuNTANT,Accountant
178,doKcTaR,Doctor
179,enjeeneaar,Engineer
180,polICe,Police
181,PHARAMCIST,Pharmacist
182,enjineer,Engineer
183,poLIcE,Police
184,DOCTIR,Doctor
185,laWYEr,Lawyer
186,DACTER,Teacher
187,TEaCHEr,Teacher
188,LAWYr,Lawyer
189,PoliCE,Police
190,coctor,Doctor
191,TEacheR,Teacher
192,teAcHEr,Teacher
193,dentists,Dentist
194,ENGINNEER,Engineer
195,TeaCheR,Teacher
196,TEaCHer,Teacher
197,ARCHITET,Architect
198,DOCTIR,Doctor
199,PHAMRACIST,Pharmacist
200,PoLiCE,Police
201,architeck,Architect
202,POLiCE,Police
203,daKtIr,Pharmacist
204,TeaCHEr,Teacher
205,Engieneear,Engineer
206,denitist,Dentist
207,TEAcHeR,Teacher
208,DOKCUTOR,Doctor
209,dentissts,Dentist
210,DOCTER,Doctor
211,nurxe,Nurse
212,lAWYRE,Lawyer
213,TEAcHER,Teacher
214,LAwyeR,Lawyer
215,TEaCHEr,Teacher
216,teacHEr,Teacher
217,enginnear,Engineer
218,teacheR,Teacher
219,TEACHer,Teacher
220,doketur,Doctor
221,enjineear,Engineer
222,PoLICe,Police
223,lAWYR,Lawyer
224,lAWYRE,Lawyer
225,pharamacists,Pharmacist
226,doktaar,Doctor
227,enjineeer,Engineer
228,TEaCHER,Teacher
229,LAWYer,Lawyer
230,DOCTUR,Doctor
231,PoLICE,Police
232,enjinearr,Engineer
233,ENGINNEER,Engineer
234,Enginir,Engineer
235,nurxe,Nurse
236,POLICe,Police
237,nurce,Nurse
238,lAWYre,Lawyer
239,denttist,Dentist
240,LAWyer,Lawyer
241,pharcmacist,Pharmacist
242,LAwyeR,Lawyer
243,lAwYE,Lawyer
244,laWYer,Lawyer
245,ENGINNEER,Engineer
246,ENGINNEER,Engineer
247,Enjinear,Engineer
248,nusze,Nurse
249,Enganear,Engineer
250,TEacHeR,Teacher
251,lAWYER,Lawyer
252,archatect,Architect
253,acCOUNTAnT,Accountant
254,DOcKtor,Doctor
255,tEACHer,Teacher
256,engineear,Engineer
257,doctar,Doctor
258,engienear,Engineer
259,PoLIcE,Police
